# catalan name #,# spanish name #,# *taxonomy catalan #,# posicion #,# *catalan Product name #,# *catalan Product name #,# *catalan Product name #,# *catalan Product name #
Carn de Xai,Carne de Cordero,Categories,1,,,,
Carn de Vedella,Carne de Ternera,Categories,2,,,,
Porc,Carne de Cerdo,Categories,0,,,,
Ous I làctics,Huevos I lácteos,Categories,0,,,,
Pà,Pan,Categories,0,,,,
Sot del Palau,Sot del Palau,Proveïdors,0,,,,
Mas el Garet,Mas el Garet,Proveïdors,0,,,,
La Fogaina,La Fogaina,Proveïdors,0,Croscat,Soca,,
Mas Claperol,Mas Claperol,Proveïdors,0,,,,
Eva i germanes,Eva i germanes,Proveïdors,0,Bistec 1ª cap de mort (0.5 kg aprox),Bistec 2ª (1 kg aprox - 4 ó 5 bistecs),Galtes (0.5 kg aprox),
Mas el Boscà Nou,Mas el Boscà Nou,Proveïdors,0,Filet de vedella (1 Kg.),"Filet de vedella (0,5 Kg.)",,
Duranoc,Duranoc,Proveïdors,0,6 ous,12 ous,,
Granja Ramonich,Granja Ramonich,Proveïdors,0,3 Botifarres fresques (0.320 kg aprox),,,
